RANK,PLAYER_ID,PLAYER
1,46046,Scottie Scheffler
2,28237,Rory McIlroy
3,46970,Jon Rahm
4,46717,Viktor Hovland
5,35450,Patrick Cantlay
6,48081,Xander Schauffele
7,39977,Max Homa
8,40098,Matt Fitzpatrick
9,27644,Brian Harman
10,51766,Wyndham Clark
11,55182,Tom Kim
12,34363,Tyrrell Hatton
13,30911,Tommy Fleetwood
14,50525,Collin Morikawa
15,33141,Keegan Bradley
16,34046,Jordan Spieth
17,36689,Brooks Koepka
18,57366,Cameron Young
19,28089,Jason Day
20,49960,Sepp Straka
21,29725,Tony Finau
22,47504,Sam Burns
23,35891,Cameron Smith
24,32102,Rickie Fowler
25,34098,Russell Henley
26,33448,Justin Thomas
27,39971,Sungjae Im
28,29936,Ryan Fox
29,48117,Kurt Kitayama
30,25900,Lucas Glover
31,51634,Sahith Theegala
32,52955,Ludvig Ã…berg
33,47483,Will Zalatoris
34,39997,Corey Conners
35,37378,Min Woo Lee
36,47993,Denny McCarthy
37,33204,Shane Lowry
38,31646,Emiliano Grillo
39,22405,Justin Rose
40,34099,Harris English
41,47591,Eric Cole
42,32839,Hideki Matsuyama
43,45157,Cam Davis
44,24502,Adam Scott
45,49771,J.T. Poston
46,37455,Si Woo Kim
47,47347,Adam Schenk
48,33674,Adrian Meronk
49,33399,Adam Hadwin
50,52453,Nicolai Hojgaard
51,25493,Nick Taylor
52,30926,Chris Kirk
53,49947,Taylor Moore
54,23108,Matt Kuchar
55,27349,Alex Noren
56,30927,Brendon Todd
57,52215,Robert MacIntyre
58,40115,Adam Svensson
59,45486,Joaquin Niemann
60,29420,Billy Horschel
61,33948,Byeong Hun An
62,54628,Lee Hodges
63,35532,Tom Hoge
64,34256,Andrew Putnam
65,46414,Aaron Rai
66,35506,Mackenzie Hughes
67,39058,Lucas Herbert
68,50493,Justin Suh
69,47679,Victor Perez
70,48887,Matt Wallace
71,39546,Keith Mitchell
72,34360,Patrick Reed
73,46464,Jordan Smith
74,51070,Vincent Norrman
75,28252,Seamus Power
76,32791,K.H. Lee
77,33974,Dean Burmester
78,34310,Alexander BjÃ¶rk
79,51287,Ryo Hisatsune
80,35461,Beau Hossler
81,33968,ThorbjÃ¸rn Olesen
82,46340,Alex Smalley
83,55789,Taylor Montgomery
84,45523,Thriston Lawrence
85,27129,Luke List
86,52686,Rasmus Hojgaard
87,40006,Erik van Rooyen
88,31323,Gary Woodland
89,39324,J.J. Spaun
90,33653,Thomas Detry
91,29670,Pablo Larrazabal
92,47056,Rikuya Hoshino
93,36699,Patrick Rodgers
94,49228,Keita Nakajima
95,57362,Austin Eckroat
96,48153,Matthieu Pavon
97,36801,Mark Hubbard
98,54591,Ben Griffin
99,48051,Yannik Paul
100,34575,Adrian Otaegui
101,40250,Taylor Pendrith
102,36799,Stephan Jaeger
103,40058,Zac Blair
104,30692,Scott Stallings
105,37275,Sam Ryder
106,47529,Mito Pereira
107,26476,Chez Reavie
108,32367,Jorge Campillo
109,52666,Sami Valimaki
110,56630,Akshay Bhatia
111,52374,Brandon Wu
112,47888,Taiga Semikawa
113,38991,Alejandro Tosti
114,45522,Christiaan Bezuidenhout
115,58168,Davis Thompson
116,47917,Takumi Kanaya
117,55708,Hayden Buckley
117,34409,David Lingmerth
119,36884,Ben Kohles
120,28300,Joost Luiten
121,59836,Pierceson Coody
122,50223,Ewen Ferguson
123,45526,Abraham Ancer
124,01810,Phil Mickelson
125,55721,Alex Fitzpatrick
126,49964,Aaron Wise
127,39975,Michael Kim
128,34587,Chan Kim
129,37250,Romain Langasque
130,47995,Davis Riley
131,50188,S.H. Kim
132,55893,Sam Stevens
133,46646,Antoine Rozner
134,45426,Nathan Kimsey
135,34213,Grayson Murray
136,50584,Connor Syme
137,37066,Grant Forrest
138,46035,Callum Shinkwin
139,49813,Daniel Hillier
140,36871,Matt NeSmith
141,27214,Kevin Streelman
142,46441,Robby Shelton
143,45609,Tyler Duncan
144,47988,Nick Hardy
145,48867,Matti Schmid
146,37447,Zander Lombard
147,51696,Rico Hoey
148,46405,Sebastian Soderberg
149,29531,Richie Ramsay
150,63459,Dan Bradbury
151,23481,Marcel Siem
152,47959,Bryson DeChambeau
153,48699,Callum Tarren
154,37278,Nicholas Lindheim
155,57975,Harry Hall
156,46601,Trey Mullinax
157,30925,Dustin Johnson
158,27770,Camilo Villegas
159,56762,Will Gordon
160,39327,Ben Silverman
160,35174,Matthew Southgate
162,28340,Julien Guerrier
163,34563,Chesson Hadley
164,48119,Ben Taylor
165,50823,Tom McKibbin
166,34076,Joel Dahmen
167,27936,Martin Laird
168,54328,Norman Xiong
169,46442,Maverick McNealy
170,57944,Andy Ogletree
171,29908,C.T. Pan
171,33293,Thomas Pieters
173,54190,Richard Mansell
174,29478,Kevin Kisner
175,54421,Garrick Higgo
176,33459,Jens Dantorp
177,47420,Jake Knapp
178,55454,Carl Yuan
179,36326,David Lipsky
180,55509,Hurly Long
181,54783,Dylan Wu
182,32139,Danny Willett
183,36514,Yuki Inamori
184,35709,Jeff Winther
185,39113,Shubhankar Sharma
186,52096,Adri Arnaus
187,28775,Nate Lashley
187,23320,Ryan Palmer
189,30957,Maximilian Kieffer
190,37189,Harold Varner III
191,51977,Max Greyserman
192,30852,Ryo Ishikawa
193,55707,Calum Hill
194,31273,Gavin Green
195,51151,Todd Clements
196,32775,Shugo Imahira
197,47497,Hendrik Du Plessis
198,35778,Kazuki Higa
199,52375,Doug Ghim
200,31420,Anirban Lahiri
